"MarcYourMind.github.io","Personal Portfolio and Resume","https://github.com/MarcYourMind/MarcYourMind.github.io",0,0
"TopTrader","Smart trading platform for crypto, stocks and FX. Make trading easier with automated market screening, auto-risk management and the ability to merge all your trading accounts into one platform.","https://github.com/MarcYourMind/TopTrader",0,0
"valentines","Simple website for valentines","https://github.com/MarcYourMind/valentines",0,0
"AiTrader","AI Agents that trade cryptocurrencies automatically","https://github.com/MarcYourMind/AiTrader",0,0
"HuggingFace-AI-Agents-Course","Course exercises done in this repo","https://github.com/MarcYourMind/HuggingFace-AI-Agents-Course",0,0
"2026Millionaire","","https://github.com/MarcYourMind/2026Millionaire",0,0
"fusion","","https://github.com/MarcYourMind/fusion",0,0
"CRIPTO","Algorithmic trading","https://github.com/MarcYourMind/CRIPTO",0,0
"CupidsOracle","Dating app that uses games to match people.","https://github.com/MarcYourMind/CupidsOracle",0,0
"CUBERO","Cubero website","https://github.com/MarcYourMind/CUBERO",0,0
"Lazarus","Stock scanner","https://github.com/MarcYourMind/Lazarus",0,0
"ArkaTech","","https://github.com/MarcYourMind/ArkaTech",0,0
"makemore","An autoregressive character-level language model for making more things","https://github.com/MarcYourMind/makemore",0,0
"gradio-course","","https://github.com/MarcYourMind/gradio-course",0,0
"HiveFrequency","Custom Transformer trained on Drum and Bass audio to generate audio samples as output.","https://github.com/MarcYourMind/HiveFrequency",0,0
"NinjaFocus","Solana trading bot connected to Telegram","https://github.com/MarcYourMind/NinjaFocus",1,0
"LaCima","","https://github.com/MarcYourMind/LaCima",0,0
"linktrees","Collection of linktree like websites to share your links","https://github.com/MarcYourMind/linktrees",0,0
"CRIPTO-production","","https://github.com/MarcYourMind/CRIPTO-production",0,0
"democracy","Concept for an app where users vote on topics and polls in order to run an efficient democracy","https://github.com/MarcYourMind/democracy",0,0
"FCILV","","https://github.com/MarcYourMind/FCILV",0,0
"Awesome-LLM-Prompt-Libraries","An index of prompting libraries for GPTs, including ChatGPT. Some of these are on Github and others are hosted externally.","https://github.com/MarcYourMind/Awesome-LLM-Prompt-Libraries",0,0
"MegaVerse","Like the MetaVerse but cooler because I created it!","https://github.com/MarcYourMind/MegaVerse",0,0
"EpiclyTrading","Market scanner for high quality trading signals on Binance Futures contracts.","https://github.com/MarcYourMind/EpiclyTrading",0,0
"Checkmate","Not for the weak","https://github.com/MarcYourMind/Checkmate",0,0
"Fights","","https://github.com/MarcYourMind/Fights",0,0
"FC","","https://github.com/MarcYourMind/FC",0,0
"ffe","","https://github.com/MarcYourMind/ffe",0,0
"squizzy1","","https://github.com/MarcYourMind/squizzy1",0,0
"technex.io","Technex.io Software Intelligence Platform","https://github.com/MarcYourMind/technex.io",0,0
"solana-bot","","https://github.com/MarcYourMind/solana-bot",0,0
"MarcYourMind","A repo containing tools for my day-to-day life","https://github.com/MarcYourMind/MarcYourMind",0,0
"token-list","","https://github.com/MarcYourMind/token-list",0,0
"technex-backend","Backend fastAPI server for Technex","https://github.com/MarcYourMind/technex-backend",0,0
"TradingviewIndicators","Technical indicators written in Pinescript for Tradingview","https://github.com/MarcYourMind/TradingviewIndicators",1,0
"GotoVan-front","GotoVan front website","https://github.com/MarcYourMind/GotoVan-front",0,0
"Plutus","Plutus Live Trading Algorithm. Technex IP.","https://github.com/MarcYourMind/Plutus",0,0
"GoToVan-frontOLD","GoToVan frontend of website","https://github.com/MarcYourMind/GoToVan-frontOLD",0,0
"GoToVan","GoToVan website","https://github.com/MarcYourMind/GoToVan",0,0
"Stacks","Market scanner website","https://github.com/MarcYourMind/Stacks",0,0
"Leo","stocks trading","https://github.com/MarcYourMind/Leo",0,0
"FairyDustEcommerce","Fairy Dust ecommerce website made using React.js","https://github.com/MarcYourMind/FairyDustEcommerce",0,0
"SkyView","Skeleton code for a screener for trading tools and information. Migrated project to TopTrader","https://github.com/MarcYourMind/SkyView",0,0
"FXweb","","https://github.com/MarcYourMind/FXweb",1,0
"Kaggle_TimeSeries","Kaggle course on Time Series ML","https://github.com/MarcYourMind/Kaggle_TimeSeries",0,0
"Basic_FX_Website_Tool","Quick website to be used as a tool for FX trading. Precursor to TopTrader platform.","https://github.com/MarcYourMind/Basic_FX_Website_Tool",0,0
"tda-api","A TD Ameritrade API client for Python. Includes historical data for equities and ETFs, options chains, streaming order book data, complex order construction, and more. ","https://github.com/MarcYourMind/tda-api",0,0
"openMP","a study on openMP parallelisation","https://github.com/MarcYourMind/openMP",0,0
"MPI","A sample stencil code is modified to run on multiple cores using MPI and openMP","https://github.com/MarcYourMind/MPI",0,0
"ML-Algorithms-Analysis","Study of many ML algorithms using python to visually understand aspects of each algorithm.","https://github.com/MarcYourMind/ML-Algorithms-Analysis",1,0
"binance-data-processing","Binance data analysis for trading bot ideas","https://github.com/MarcYourMind/binance-data-processing",1,1
